idxUp,idxLow,midUp,midLow,ringUp,ringLow,thumb,pinky,label
744.0,772.0,0.0,0.0,0.0,53.0,0.0,0.0,O
498.0,510.0,0.0,0.0,0.0,51.0,0.0,0.0,O
251.0,235.0,0.0,0.0,0.0,49.0,0.0,0.0,O
0.0,0.0,0.0,0.0,0.0,46.0,0.0,0.0,O
0.0,0.0,0.0,0.0,0.0,43.0,0.0,0.0,O
0.0,0.0,0.0,0.0,0.0,42.0,0.0,0.0,O
0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,O
0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,O
0.0,0.0,0.0,0.0,0.0,39.0,0.0,0.0,O
0.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,O
0.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,O
0.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,O
0.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,O
0.0,0.0,0.0,0.0,0.0,37.0,0.0,0.0,O
0.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,O
0.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,O
0.0,0.0,0.0,0.0,0.0,37.0,0.0,0.0,O
0.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,O
0.0,0.0,0.0,0.0,0.0,39.0,0.0,0.0,O
0.0,0.0,0.0,0.0,0.0,39.0,0.0,0.0,O
0.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,O
0.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,O
0.0,0.0,0.0,0.0,0.0,37.0,0.0,0.0,O
0.0,0.0,0.0,0.0,0.0,37.0,0.0,0.0,O
0.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,O
0.0,0.0,0.0,0.0,0.0,39.0,0.0,0.0,O
0.0,0.0,0.0,0.0,0.0,43.0,0.0,0.0,O
0.0,0.0,0.0,0.0,0.0,47.0,0.0,0.0,O
0.0,0.0,0.0,0.0,0.0,48.0,0.0,0.0,O
0.0,0.0,0.0,0.0,0.0,47.0,0.0,0.0,O
0.0,0.0,0.0,0.0,0.0,46.0,0.0,0.0,O
0.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,O
0.0,0.0,0.0,0.0,0.0,44.0,0.0,0.0,O
0.0,0.0,0.0,0.0,0.0,43.0,0.0,0.0,O
0.0,0.0,0.0,0.0,0.0,44.0,0.0,0.0,O
0.0,0.0,0.0,0.0,0.0,51.0,0.0,0.0,O
0.0,0.0,0.0,0.0,0.0,59.0,0.0,0.0,O
0.0,0.0,0.0,0.0,0.0,69.0,0.0,0.0,O
0.0,0.0,0.0,0.0,0.0,71.0,0.0,0.0,O
0.0,0.0,0.0,0.0,0.0,68.0,0.0,0.0,O
0.0,0.0,0.0,0.0,0.0,64.0,0.0,0.0,O
0.0,0.0,0.0,0.0,0.0,61.0,0.0,0.0,O
0.0,0.0,0.0,0.0,0.0,59.0,0.0,0.0,O
0.0,0.0,0.0,0.0,0.0,58.0,0.0,0.0,O
0.0,0.0,0.0,0.0,0.0,67.0,0.0,0.0,O
0.0,0.0,0.0,0.0,0.0,64.0,0.0,0.0,O
0.0,0.0,0.0,0.0,0.0,52.0,0.0,0.0,O
0.0,0.0,0.0,0.0,0.0,56.0,0.0,0.0,O
0.0,0.0,0.0,0.0,0.0,61.0,0.0,0.0,O
0.0,0.0,0.0,0.0,0.0,59.0,0.0,0.0,O
0.0,0.0,0.0,0.0,0.0,58.0,0.0,0.0,O
0.0,0.0,0.0,0.0,0.0,58.0,0.0,0.0,O
0.0,0.0,0.0,0.0,0.0,59.0,0.0,0.0,O
