Timestamp,MidDown,MidUp
2025-09-30 16:42:04,35.0,45.0
2025-09-30 16:42:04,37.0,44.0
2025-09-30 16:42:04,39.0,42.0
2025-09-30 16:42:04,41.0,42.0
2025-09-30 16:42:04,43.0,41.0
2025-09-30 16:42:04,44.0,40.0
2025-09-30 16:42:04,45.0,39.0
2025-09-30 16:42:04,45.0,38.0
2025-09-30 16:42:04,46.0,36.0
2025-09-30 16:42:04,47.0,33.0
2025-09-30 16:42:05,47.0,31.0
2025-09-30 16:42:05,48.0,29.0
2025-09-30 16:42:05,50.0,27.0
2025-09-30 16:42:05,51.0,25.0
2025-09-30 16:42:05,52.0,23.0
2025-09-30 16:42:05,53.0,20.0
2025-09-30 16:42:05,55.0,18.0
2025-09-30 16:42:05,55.0,18.0
2025-09-30 16:42:05,54.0,17.0
2025-09-30 16:42:05,54.0,17.0
2025-09-30 16:42:06,53.0,17.0
2025-09-30 16:42:06,53.0,17.0
2025-09-30 16:42:06,52.0,17.0
2025-09-30 16:42:06,52.0,17.0
2025-09-30 16:42:06,52.0,17.0
2025-09-30 16:42:06,52.0,17.0
2025-09-30 16:42:06,52.0,17.0
2025-09-30 16:42:06,52.0,17.0
2025-09-30 16:42:06,53.0,17.0
2025-09-30 16:42:06,53.0,17.0
2025-09-30 16:42:07,53.0,17.0
2025-09-30 16:42:07,53.0,17.0
2025-09-30 16:42:07,53.0,16.0
2025-09-30 16:42:07,54.0,17.0
2025-09-30 16:42:07,54.0,17.0
2025-09-30 16:42:07,53.0,17.0
2025-09-30 16:42:07,51.0,17.0
2025-09-30 16:42:07,49.0,18.0
2025-09-30 16:42:07,48.0,19.0
2025-09-30 16:42:07,46.0,21.0
2025-09-30 16:42:08,44.0,22.0
2025-09-30 16:42:08,42.0,25.0
2025-09-30 16:42:08,40.0,27.0
2025-09-30 16:42:08,37.0,29.0
2025-09-30 16:42:08,35.0,32.0
2025-09-30 16:42:08,33.0,35.0
2025-09-30 16:42:08,32.0,37.0
2025-09-30 16:42:08,31.0,38.0
2025-09-30 16:42:08,30.0,40.0
2025-09-30 16:42:08,29.0,42.0
2025-09-30 16:42:09,28.0,42.0
2025-09-30 16:42:09,28.0,43.0
2025-09-30 16:42:09,27.0,44.0
2025-09-30 16:42:09,27.0,45.0
2025-09-30 16:42:09,27.0,45.0
2025-09-30 16:42:09,26.0,45.0
2025-09-30 16:42:09,26.0,45.0
2025-09-30 16:42:09,26.0,45.0
2025-09-30 16:42:09,26.0,44.0
2025-09-30 16:42:09,26.0,44.0
2025-09-30 16:42:10,26.0,44.0
2025-09-30 16:42:10,26.0,43.0
2025-09-30 16:42:10,26.0,43.0
2025-09-30 16:42:10,26.0,43.0
2025-09-30 16:42:10,25.0,43.0
2025-09-30 16:42:10,24.0,43.0
2025-09-30 16:42:10,24.0,42.0
2025-09-30 16:42:10,24.0,42.0
2025-09-30 16:42:10,23.0,42.0
2025-09-30 16:42:10,23.0,42.0
2025-09-30 16:42:11,22.0,42.0
2025-09-30 16:42:11,22.0,42.0
2025-09-30 16:42:11,22.0,42.0
2025-09-30 16:42:11,22.0,42.0
2025-09-30 16:42:11,23.0,42.0
2025-09-30 16:42:11,24.0,42.0
2025-09-30 16:42:11,25.0,42.0
2025-09-30 16:42:11,25.0,42.0
2025-09-30 16:42:11,26.0,42.0
2025-09-30 16:42:11,27.0,42.0
2025-09-30 16:42:12,28.0,42.0
2025-09-30 16:42:12,28.0,42.0
2025-09-30 16:42:12,28.0,42.0
2025-09-30 16:42:12,28.0,42.0
2025-09-30 16:42:12,28.0,42.0
2025-09-30 16:42:12,28.0,42.0
2025-09-30 16:42:12,28.0,42.0
2025-09-30 16:42:12,28.0,42.0
2025-09-30 16:42:12,28.0,42.0
2025-09-30 16:42:13,28.0,42.0
2025-09-30 16:42:13,29.0,42.0
2025-09-30 16:42:13,29.0,42.0
2025-09-30 16:42:13,31.0,40.0
2025-09-30 16:42:13,33.0,39.0
2025-09-30 16:42:13,35.0,37.0
2025-09-30 16:42:13,37.0,34.0
2025-09-30 16:42:13,41.0,32.0
2025-09-30 16:42:13,45.0,29.0
2025-09-30 16:42:13,48.0,26.0
2025-09-30 16:42:14,52.0,23.0
2025-09-30 16:42:14,55.0,20.0
2025-09-30 16:42:14,58.0,17.0
2025-09-30 16:42:14,59.0,15.0
2025-09-30 16:42:14,61.0,14.0
2025-09-30 16:42:14,62.0,13.0
2025-09-30 16:42:14,62.0,13.0
2025-09-30 16:42:14,62.0,13.0
2025-09-30 16:42:14,61.0,13.0
2025-09-30 16:42:14,61.0,13.0
2025-09-30 16:42:15,59.0,13.0
2025-09-30 16:42:15,58.0,13.0
2025-09-30 16:42:15,57.0,13.0
2025-09-30 16:42:15,55.0,14.0
2025-09-30 16:42:15,54.0,15.0
2025-09-30 16:42:15,52.0,15.0
2025-09-30 16:42:15,51.0,16.0
2025-09-30 16:42:15,49.0,17.0
2025-09-30 16:42:15,48.0,18.0
